Detector, Extractor,Mean, Cemera based TTC,,,,,,,,,,,
BRISK,BRIEF,,25.0373,,,,,,,,,,,
BRISK,BRIEF,,17.0227,,,,,,,,,,,
BRISK,BRIEF,,26.278,,,,,,,,,,,
BRISK,BRIEF,,21.1501,,,,,,,,,,,
BRISK,BRIEF,,20.2889,,,,,,,,,,,
BRISK,BRIEF,,20.5871,,,,,,,,,,,
BRISK,BRIEF,,13.2539,,,,,,,,,,,
BRISK,BRIEF,,16.3477,,,,,,,,,,,
BRISK,BRIEF,,16.5736,,,,,,,,,,,
BRISK,BRIEF,,13.3251,,,,,,,,,,,
BRISK,BRIEF,,14.307,,,,,,,,,,,
BRISK,BRIEF,,13.8292,,,,,,,,,,,
BRISK,BRIEF,,11.5719,,,,,,,,,,,
BRISK,BRIEF,,12.923,,,,,,,,,,,
BRISK,BRIEF,,15.1544,,,,,,,,,,,
------------------------------------------------,,17.12915,19.03025631,,,,,,,,,,,
BRISK,FREAK,,15.6863,,,,,,,,,,,
BRISK,FREAK,,22.3902,,,,,,,,,,,
BRISK,FREAK,,13.4607,,,,,,,,,,,
BRISK,FREAK,,14.4047,,,,,,,,,,,
BRISK,FREAK,,24.3352,,,,,,,,,,,
BRISK,FREAK,,17.143,,,,,,,,,,,
BRISK,FREAK,,19.238,,,,,,,,,,,
BRISK,FREAK,,19.6326,,,,,,,,,,,
BRISK,FREAK,,18.4336,,,,,,,,,,,
BRISK,FREAK,,13.0529,,,,,,,,,,,
BRISK,FREAK,,14.9571,,,,,,,,,,,
BRISK,FREAK,,12.0884,,,,,,,,,,,
BRISK,FREAK,,13.3923,,,,,,,,,,,
BRISK,FREAK,,15.0158,,,,,,,,,,,
BRISK,FREAK,,14.7998,,,,,,,,,,,
BRISK,FREAK,,10.5758,,,,,,,,,,,
BRISK,FREAK,,10.8834,,,,,,,,,,,
BRISK,FREAK,,12.8785,,,,,,,,,,,
------------------------------------------------,,15.68712778,14.59865396,,,,,,,,,,,
ORB,SIFT,,16.726,,,,,,,,,,,
ORB,SIFT,,9.78243,,,,,,,,,,,
ORB,SIFT,,35.1392,,,,,,,,,,,
ORB,SIFT,,15.5271,,,,,,,,,,,
ORB,SIFT,,#NAME?,,,,,,,,,,,
ORB,SIFT,,10.7502,,,,,,,,,,,
ORB,SIFT,,19.7168,,,,,,,,,,,
ORB,SIFT,,11.1725,,,,,,,,,,,
ORB,SIFT,,#NAME?,,,,,,,,,,,
ORB,SIFT,,#NAME?,,,,,,,,,,,
ORB,SIFT,,7.44098,,,,,,,,,,,
ORB,SIFT,,#NAME?,,,,,,,,,,,
ORB,SIFT,,9.55147,,,,,,,,,,,
ORB,SIFT,,45.1035,,,,,,,,,,,
ORB,SIFT,,13.594,,,,,,,,,,,
ORB,SIFT,,8.57488,,,,,,,,,,,
ORB,SIFT,,8.05327,,,,,,,,,,,
ORB,SIFT,,50.0669,,,,,,,,,,,
------------------------------------------------,,#NAME?,#NAME?,,,,,,,,,,,
ORB,BRISK,,16.6423,,,,,,,,,,,
ORB,BRISK,,43.6464,,,,,,,,,,,
ORB,BRISK,,#NAME?,,,,,,,,,,,
ORB,BRISK,,12.7359,,,,,,,,,,,
ORB,BRISK,,156.224,,,,,,,,,,,
ORB,BRISK,,10.2101,,,,,,,,,,,
ORB,BRISK,,#NAME?,,,,,,,,,,,
ORB,BRISK,,13.0429,,,,,,,,,,,
ORB,BRISK,,79.3417,,,,,,,,,,,
ORB,BRISK,,#NAME?,,,,,,,,,,,
ORB,BRISK,,7.71005,,,,,,,,,,,
ORB,BRISK,,#NAME?,,,,,,,,,,,
ORB,BRISK,,9.46671,,,,,,,,,,,
ORB,BRISK,,29.2257,,,,,,,,,,,
ORB,BRISK,,13.8404,,,,,,,,,,,
ORB,BRISK,,26.3083,,,,,,,,,,,
